No.,英単語,日本語,Unit
77,long,（距離・寸法が）長い、（～を）切望する（for～）,Unit１
78,some,いくつかの、いくらかの、一部の,Unit１
79,cold,寒い、冷たい、（人が）寒気がする、冷酷な、冷淡な,Unit１
80,high,（高さが）高い、（質・程度などが）高い、高度な,Unit１
81,new,新しい、新たに生み出された、新任の,Unit１
82,little,小さい、小規模の、年少の、（a～）少し,Unit１
83,glad,うれしい、うれしく思う、喜んで～する（to do）,Unit１
84,wide,（幅が）広い、広範囲にわたる,Unit１
85,any,（肯定文で）どれ［誰］でも、（否定文で）少し［どれ・誰］も～ない、（疑問文で）どれ［何・誰］か,Unit１
86,young,若い、年少の、若々しい、はつらつとした、年下の,Unit１
87,hot,暑い、熱い（ぴりっと）辛い、論争の的の,Unit１
88,bad,悪い、問題の多い、ひどい、（病気などが）重い,Unit１
89,nice,すてきな、素晴らしい、親切な、丁寧な,Unit１
90,low,（高さが）低い、（価値などが）低い,Unit１
91,now,今は、すぐに、直ちに,Unit１
92,too,あまりに～過ぎる、～もまた,Unit１
93,only,たった、ほんの、～のみ、～しか,Unit１
94,o'clock,～時、時計によると、（形容詞的に）～時の、～時発の,Unit１
95,soon,もうすぐ、近いうちに、（予定より）早く,Unit１
96,either,（eitherAorBで）（AかBか）いずれか,Unit１
97,really,実は、本当は、実に、とても、非常に,Unit１
98,maybe,もしかすると、たぶん、（数詞の前で）大体～,Unit１
99,here,ここで、ここに,Unit１
100,there,そこで、そこに、～がある,Unit１
101,world,世界（the～）この世、（世間の）人々,Unit２
102,member,一員、構成員、メンバー,Unit２
103,art,芸術、美術、こつ、技術、（～s）人文科学、教養科目,Unit２
104,number,番号、数、数字、個数、人数,Unit２
105,life,生命、命、寿命、人生、生活,Unit２
106,message,伝言、ことづて、（作品などに込められた）メッセージ、教訓,Unit２
107,path,小道、細道、進路,Unit２
108,club,クラブ、同好会、（ゴルフなどの）クラブ,Unit２
109,diary,日記（帳）、日誌,Unit２
110,actibity,活動、活動状態、活気、活動力,Unit２
111,uniform,制服、軍服、ユニフォーム,Unit２
112,farm,農場、農園、飼育場、養殖場,Unit２
113,field,畑、野原、分野、領域、球場,Unit２
114,yard,庭、中庭,Unit２
115,factory,向上,Unit２
116,drug,麻薬、薬,Unit２
117,valley,谷間、峡谷、渓谷,Unit２
118,grass,草、牧草（地）、芝,Unit２
119,heat,熱、熱さ、暑さ,Unit２
120,homework,宿題,Unit２
121,university,総合大学,Unit２
122,job,仕事、作業、手間,Unit２
123,blood,血,Unit２
124,bone,骨,Unit２
125,question,質問、問い、疑問,Unit２
126,balloon,風船、気球,Unit２
127,size,サイズ、大きさ,Unit２
128,noise,雑音、物音、（不快な）音、騒音,Unit２
129,hobby,趣味,Unit２
130,gun,銃、火器,Unit２
131,age,年齢、時代、時期、年を取る,Unit２
132,market,市場,Unit２
133,circle,円、輪、循環、（しばしば～s）グループ、サークル,Unit２
134,heaven,天国、天、楽園,Unit２
135,program,計画、予定、番組,Unit２
136,speed,速度、速さ,Unit２
137,trip,旅、小旅行,Unit２
138,side,側面、面、側部、片側、脇、側面の,Unit２
139,monster,怪物、怪獣,Unit２
140,tool,道具、工具、手段,Unit２
141,ash,灰、燃えがら,Unit２
142,top,頂上、頂点、トップ、トップの,Unit２
143,beauty,美しさ、美,Unit２
144,breath,いき、呼吸,Unit２
145,power,力、能力、権力、支配力,Unit２
146,address,住所、宛名、（式典などでの）あいさつの言葉、式辞,Unit２
147,illness,病気、疾患、気分がすぐれないこと,Unit２
148,form,形状、ひな型、申込用紙,Unit２
149,anger,（#^ω^）、立腹,Unit２
150,idea,考え、アイデア,Unit２
151,think,～と［を］思う、考える,Unit２
152,put,～を置く、しまう、付ける、～をある状態に置く,Unit２
153,begin,（～し）始める（to do/doing）、～を始める、（出来事などが）始まる,Unit２
154,eat,～を食べる、（人）を悩ませる,Unit２
155,see,～が見える、～を見る、～に会う,Unit２
156,play,遊ぶ、～を演奏する、～の試合をする、演劇、遊び,Unit２
157,walk,歩く、散歩する,Unit２
158,study,～を勉強する、勉強する,Unit２
159,buy,～を買う、購入する,Unit２
160,watch,～を注意して見る、見る、腕時計,Unit２
161,listen,（～を）聞く（to～）、（～に）耳をかあ向ける（to～）,Unit２
162,hear,～が聞こえる、～を聞く、～の声を聞く,Unit２
163,wash,～を洗う、選択する,Unit２
164,sing,歌う、（鳥・虫などが）さえずる、鳴く,Unit２
165,call,～に電話をかける、（人・物など）を～と呼ぶ、～を呼び出す、～を大声で叫ぶ,Unit２
166,become,～になる、（福・色などが）～に似合う,Unit２
167,believe,～を信じる、信用する、（～の）存在を信じる（in～）,Unit２
168,reach,～に着く、到着する、～に達する、届く,Unit２
169,feel,～を感じる、退官する、触って調べる,Unit２
170,bring,～に…を持ってくる、連れてくる,Unit２
171,beautiful,美しい、素晴らしい、立派な,Unit２
172,interesting,興味深い、面白い,Unit２
173,same,同じ、同一の、よく似た、（～と）同じような（as～）,Unit２
174,happy,幸せな、楽しい、うれしい,Unit２
175,strong,強い、丈夫な、力のある,Unit２
176,tall,背が高い、（建物・木などが）高い,Unit２
177,late,遅れた、遅刻した、（いつもより）遅い、後半の、晩年の,Unit２
178,free,自由な、自由な身の、暇な、無料の,Unit２
179,fat,太った、脂肪の多い、分厚い、志望,Unit２
180,sick,病気の、病んでいる、吐き気がする,Unit２
181,warm,暖かい、温かい、温暖な、（人が）暖かく感じる,Unit２
182,great,巨大な、大きな、偉大な、卓越した,Unit２
183,dry,乾いた、水気のない、日照り続きの、乾燥した,Unit２
184,next,次の、今度の、隣り合った、隣の,Unit２
185,kind,親切な、心からの、種類,Unit２
186,heavy,重い、大きい,Unit２
187,lucky,運が良い、ついている、まぐれ当たりの,Unit２
188,special,特別の、特殊な、特別に大事な、とりわけ重要な,Unit２
189,cool,涼しい、（物が）稗田、落ち着いた、冷静な、かっこいい,Unit２
190,wet,ぬれた、湿った、湿気の多い,Unit２
191,again,もう一度、再び,Unit２
192,always,いつも、常に、以前からずっと、かねてから,Unit２
193,sometimes,時々、時折,Unit２
194,often,よく、しばしば、たびたび,Unit２
195,just,ちょうど、まさに、ほんの、たった,Unit２
196,away,離れて、あちらに、留守にして,Unit２
197,out,外へ、外に、外出して、不在で,Unit２
198,ago,～前に,Unit２
199,fast,急速に、早く、早い,Unit２
200,abroad,海外で［に］、外国で［に］,Unit２
